TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,,,
07/25/2025,18.2,28.4,22.1,81,0,5.6,3,40,0,C,,,
07/24/2025,17.3,26.8,21.8,75,0,6.2,4,290,1,C,,,
07/23/2025,16.7,27,20.7,79,0,7.2,2,290,0,C,,,
07/22/2025,17,26.4,20.7,80,0,7.1,4,340,1,C,,,
07/21/2025,17.2,26.6,21,79,0,7.4,3,300,1,C,,,
07/20/2025,17.8,27,21.4,79,0,7.2,3,240,1,C,,,
07/19/2025,17.4,27.2,21.7,74,0,4,4,340,1,C,,,
07/18/2025,18.6,25.3,21.2,84,0,5,3,350,1,C,,,
07/17/2025,18.4,26.8,21.7,85,1,4.3,4,330,1,C,,,
07/16/2025,19,25.5,21.5,88,1,1.3,3,290,0,C,,,
07/15/2025,18.8,25.4,21.2,90,0,0.6,3,340,0,C,,,
07/14/2025,19.4,24.7,21.4,91,15.8,3.2,3,330,1,C,,,
07/13/2025,17.9,26.2,22.5,79,0,6.6,4,120,1,C,,,
07/12/2025,17.6,26.2,21.3,84,0,1.4,3,340,1,C,,,
07/11/2025,18.2,24.4,21,83,0,5.4,3,320,1,C,,,
07/10/2025,18.9,26.3,21.7,84,8888,2.7,2,350,1,N,,,
07/09/2025,19.6,25.4,21.6,92,7,3.6,3,310,0,C,,,
07/08/2025,18.7,26,21.1,91,43.3,1.3,3,340,1,C,,,
07/07/2025,18.7,24.7,21.1,87,36.2,3.8,4,330,1,C,,,
07/06/2025,18.4,26.8,20.9,86,111,3.8,3,110,0,C,,,
07/05/2025,19.5,25.2,21,89,8888,2.5,3,10,1,C,,,
07/04/2025,18.6,25.2,21.3,91,15.3,1.6,3,260,0,C,,,
07/03/2025,20,25.8,22,90,42,4.6,3,350,1,C,,,
07/02/2025,19,26.2,21.6,86,0.1,6.9,4,350,1,C,,,
07/01/2025,19.7,27.8,22.5,81,0,8,3,330,1,C,,,
06/30/2025,19,27.8,22.4,77,8888,0.4,4,100,2,E,,,
06/29/2025,18.2,23,20,92,21,1.1,2,120,1,C,,,
06/28/2025,19.6,24.6,20.9,89,0,3.6,3,330,1,C,,,
06/27/2025,18.7,26.4,22.1,84,0,7,2,300,0,C,,,
06/26/2025,18,27.6,21.9,82,11.1,5.3,3,310,1,C,,,
06/25/2025,18.7,27.7,20.8,88,0.5,3.3,3,350,1,C,,,
06/24/2025,17.6,25.3,21,88,0,3.1,3,30,1,C,,,
06/23/2025,20.6,27,22.9,82,1.2,7,5,120,1,C,,,
06/22/2025,18,27.3,22,88,8888,1.3,2,280,1,C,,,
06/21/2025,18.7,24.6,20.5,94,11.9,3.5,3,340,1,C,,,
06/20/2025,18.8,25.2,21,90,3.2,0,3,340,1,C,,,
06/19/2025,19.1,22.7,20.4,94,2.8,0,2,310,0,C,,,
06/18/2025,19.2,22.6,20.6,95,12,6.7,3,330,0,C,,,
06/17/2025,19.1,25.6,21.5,84,22.6,4.7,2,310,0,C,,,
06/16/2025,19.3,27.4,22.6,82,0,3.6,3,30,1,C,,,
06/15/2025,19.7,27.6,23.6,80,40.5,5.6,2,130,0,C,,,
06/14/2025,19.6,28.8,22.3,85,0,5.7,4,150,1,C,,,
06/13/2025,18.2,27.8,22.4,83,0,5,2,30,1,C,,,
06/12/2025,19,27,22.6,86,1,1.1,3,300,1,C,,,
06/11/2025,18,25.7,21.7,91,15.8,2.8,3,330,1,C,,,
06/10/2025,18.4,26.2,21.4,86,0,3.3,2,310,0,C,,,
06/09/2025,18.8,25.8,21.7,87,0,6.7,3,330,1,C,,,
06/08/2025,18,27,22.5,77,11,4.7,3,320,1,C,,,
06/07/2025,19.2,26.9,21.9,87,13.5,2.5,3,310,0,C,,,
06/06/2025,19.5,25,22,89,0,7.3,3,320,1,C,,,
06/05/2025,18.8,27.3,22.3,86,0,5.3,2,350,0,C,,,
06/04/2025,18,27.9,21.8,84,14.8,1.9,3,330,1,C,,,
06/03/2025,18.4,26.2,22,86,0,5.6,3,210,0,C,,,
06/02/2025,19.5,27.6,23.3,66,0,1.3,2,10,1,NW,,,
06/01/2025,18,25,21.8,80,13.2,6.5,2,300,1,C,,,
05/31/2025,19.8,27.9,22.2,77,8888,5.2,3,260,1,C,,,
05/30/2025,20.1,27.1,22.7,90,4.8,6,5,340,1,C,,,
05/29/2025,20.5,27.9,23.1,81,0,7.5,4,330,1,C,,,
05/28/2025,19.9,27.6,23.5,82,0,7.2,3,310,1,C,,,
05/27/2025,19,27.2,22.3,84,4.2,0.1,4,350,1,SE,,,
05/26/2025,20.2,23.2,21,94,0.8,0,2,110,1,C,,,
05/25/2025,19.9,24.7,21.8,92,4.8,0,2,320,1,C,,,
05/24/2025,19.6,25,21.6,94,24.1,0,3,20,1,C,,,
05/23/2025,19.5,22.8,20.4,96,39.9,0.2,3,330,1,C,,,
05/22/2025,20.4,25.6,22.2,91,4,0,3,340,0,C,,,
05/21/2025,20.1,23.9,21.4,94,5.5,2.3,1,310,0,C,,,
05/20/2025,20.3,25.6,22.1,89,0,7.4,3,340,1,C,,,
05/19/2025,19.8,28.2,23,75,1.9,6.9,4,270,1,C,,,
05/18/2025,19.6,27.4,22.7,82,2.7,3.7,3,320,1,C,,,
05/17/2025,20.2,26.4,22.5,87,0,5.6,2,330,0,C,,,
05/16/2025,19.7,27.1,23,87,60,5.2,4,300,1,C,,,
05/15/2025,19,27,22,86,62,3.1,3,310,1,NW,,,
05/14/2025,19,26.2,21.1,92,55.5,3.5,2,310,1,C,,,
05/13/2025,20.4,26.7,23.1,84,0,4.2,4,330,1,C,,,
05/12/2025,19.6,28.4,22.5,87,0,3.7,3,320,1,C,,,
05/11/2025,19.8,25.9,21.9,88,0.3,2.4,2,340,0,C,,,
05/10/2025,19.4,27.1,22.7,85,8888,4.7,4,330,0,C,,,
05/09/2025,19.5,27.4,23,83,15.6,3,3,260,1,C,,,
05/08/2025,19.8,26.2,22.4,90,0.2,3.5,2,270,0,C,,,
05/07/2025,19.4,25.3,21.9,93,24.6,3.7,2,250,0,C,,,
05/06/2025,19.5,26.4,22.1,89,3.8,5.3,5,340,1,C,,,
05/05/2025,19.5,27,22.6,86,9.1,1,3,360,1,C,,,
05/04/2025,19.1,25.8,22.1,88,16.8,5.3,3,300,0,C,,,
05/03/2025,19.4,28.2,21.8,87,0.2,6.1,2,240,1,C,,,
05/02/2025,19.1,27,22.5,84,1.2,4.6,3,310,1,C,,,
05/01/2025,19.2,26.5,22.4,84,2.3,4.2,3,340,1,C,,,
04/30/2025,18.5,26,21.5,83,16.3,6.9,3,350,1,C,,,
04/29/2025,18.3,26.9,21.6,84,0,7.3,3,330,1,C,,,
04/28/2025,18.2,27,22,89,57.1,4.5,4,290,1,C,,,
04/27/2025,19.6,26.2,22.3,89,9,3.1,3,340,1,C,,,
04/26/2025,19.8,26.6,22,89,3,4,3,310,1,C,,,
04/25/2025,20,25.8,22.2,90,3.6,4.1,2,320,0,C,,,
04/24/2025,19.2,25.8,21.6,86,0,5.9,4,310,1,C,,,
04/23/2025,19,25.6,21.6,82,0,6.5,4,260,1,C,,,
04/22/2025,19.6,27.2,22.5,78,0,2.1,4,250,1,C,,,
04/21/2025,19.6,25.4,22.1,83,0,5.9,4,240,1,SE,,,
04/20/2025,19.5,26,22.2,88,21,4.2,2,280,1,C,,,
04/19/2025,19.2,28,22.6,90,10,3.1,3,310,1,C,,,
04/18/2025,19.7,26.6,22.1,89,0,0,3,330,1,C,,,
04/17/2025,20,24.2,21.6,96,4.7,0.2,2,300,0,C,,,
04/16/2025,18.2,25.4,21.5,93,8.8,0.7,3,340,0,C,,,
04/15/2025,18.2,24.2,21.1,93,8888,5.7,2,310,1,C,,,
04/14/2025,18.6,27,22.2,86,15.2,2.4,4,310,1,C,,,
04/13/2025,18.8,26.2,21.5,92,13.7,1,4,320,1,C,,,
04/12/2025,18.8,25.6,21.2,94,6.5,2.3,6,320,1,C,,,
04/11/2025,19.1,25.7,20.9,93,4.3,3.4,5,330,1,C,,,
04/10/2025,19.5,26,21.8,89,8888,3.9,3,300,1,C,,,
04/09/2025,18.2,27,22.4,88,1,5.5,2,320,1,C,,,
04/08/2025,17.8,25.5,21.3,87,0,7.3,2,270,1,C,,,
04/07/2025,19,26.6,22.1,85,20.7,2.8,3,310,1,C,,,
04/06/2025,18.8,26.1,21.4,88,3.7,5.9,2,130,1,C,,,
04/05/2025,19,26.7,21.9,84,0,5.5,5,320,1,C,,,
04/04/2025,19,26.2,21.8,87,54.7,6.9,3,290,1,C,,,
04/03/2025,20.2,26.6,22.4,89,17.4,1.8,5,340,1,C,,,
04/02/2025,19.8,26.2,22.1,90,19.5,2.2,4,260,1,C,,,
04/01/2025,18.8,25.3,20.9,88,0,3.6,4,320,0,C,,,
03/31/2025,19.5,26.4,22.3,83,0,7.8,3,10,1,C,,,
03/30/2025,19.6,28.4,23,79,8888,4,4,320,1,C,,,
03/29/2025,19.2,27.2,22.3,81,5,0.1,3,280,1,C,,,
03/28/2025,20.2,24,21.7,91,6.2,1.4,3,270,1,C,,,
03/27/2025,19.6,26,22,87,8.7,1.4,4,320,1,C,,,
03/26/2025,20,23.5,21.6,89,2,0.8,3,300,1,C,,,
03/25/2025,19.7,24.6,21.4,85,6.6,2.8,6,340,1,C,,,
03/24/2025,19.4,25.2,22.1,83,0,6,3,310,1,C,,,
03/23/2025,19.3,26.6,22.2,86,4.7,1.7,4,320,1,NW,,,
03/22/2025,19.8,25.4,21.7,91,0,1.8,3,330,1,C,,,
03/21/2025,19.6,24.6,21.8,88,0.5,3.2,4,310,1,C,,,
03/20/2025,19.4,26.6,22.2,89,0,0.5,5,320,1,C,,,
03/19/2025,19.1,25.2,21.5,85,0.4,0.8,3,330,0,C,,,
03/18/2025,18.6,23.6,20.7,91,39.8,1.2,2,160,0,C,,,
03/17/2025,19.6,24.5,21.5,90,0,2.2,3,330,1,SW,,,
03/16/2025,18.8,27.4,22.8,75,54.1,1,3,230,1,C,,,
03/15/2025,18,24.9,20.4,97,28.7,5.1,2,340,0,C,,,
03/14/2025,18.9,26.8,21.7,85,0.9,2.4,4,330,1,C,,,
03/13/2025,20,26.2,22.1,89,1,1.7,3,340,1,C,,,
03/12/2025,19.1,25.8,22.7,84,7.5,5.3,3,340,0,C,,,
03/11/2025,19.2,26.4,22.2,85,7,0.1,4,310,1,C,,,
03/10/2025,18.6,24.2,20.4,91,7,1.7,3,330,1,C,,,
03/09/2025,18.8,25.4,21.3,92,33.2,2.4,4,330,1,C,,,
03/08/2025,19.3,24.8,20.6,89,0,0.4,2,330,0,C,,,
03/07/2025,18.7,25.6,21.7,91,32.2,4.2,4,350,1,C,,,
03/06/2025,18.8,26.9,21.6,89,0,6.8,3,310,1,C,,,
03/05/2025,18.5,27,22.2,84,0,1.3,3,50,1,C,,,
03/04/2025,19.8,24.6,21.8,96,126.4,2.1,3,40,1,C,,,
03/03/2025,19,25.4,21.4,94,115.1,2.5,2,300,1,NW,,,
03/02/2025,19.2,26,21.4,92,0.8,5.5,2,240,1,C,,,
03/01/2025,18.6,26.9,21.6,88,54.6,1,3,340,1,C,,,
02/28/2025,19,24.8,20.6,95,46.5,1.9,2,290,0,C,,,
02/27/2025,19,24.2,20.5,92,3.1,0,3,330,1,C,,,
02/26/2025,19,23.2,20.3,94,6.6,1.3,3,310,0,C,,,
02/25/2025,18.8,25.2,21.2,90,14.7,3.2,3,320,0,C,,,
02/24/2025,19.5,25.4,20.8,92,1.6,0.6,4,300,0,C,,,
02/23/2025,19.2,24.3,21,92,5.3,1.6,4,350,1,C,,,
02/22/2025,19,25.5,21.5,86,0.5,4.2,3,330,1,C,,,
02/21/2025,19.4,27,22.4,86,18.4,5.6,3,350,1,C,,,
02/20/2025,18.6,25,21.1,88,16.7,0.9,4,320,1,C,,,
02/19/2025,19,24.6,20.3,93,28.3,2.2,3,310,0,C,,,
02/18/2025,18.8,24.6,20.7,93,48.6,0.5,2,270,1,C,,,
02/17/2025,19,24.5,19.9,96,35.9,2.9,3,320,0,C,,,
02/16/2025,18.8,25.6,21.7,90,10.4,3.3,4,140,1,C,,,
02/15/2025,19.2,25.6,21.3,91,1.1,2.7,4,320,1,SE,,,
02/14/2025,19.6,27,21.9,87,8888,6,4,330,1,C,,,
02/13/2025,18.8,28.7,22.5,83,0,7.1,3,360,1,C,,,
02/12/2025,18.6,28.3,23,72,0,3.7,5,350,1,C,,,
02/11/2025,18,26.4,21.5,84,8.3,0.2,6,210,1,C,,,
02/10/2025,19.7,23.4,21.4,95,3.8,0,3,310,1,C,,,
02/09/2025,19.3,23.4,20.9,94,8888,0,4,310,1,C,,,
02/08/2025,18.2,22.6,20.2,95,7.1,0.1,2,330,1,S,,,
02/07/2025,19.2,22.8,20.8,98,15.2,0,3,340,1,C,,,
02/06/2025,19.6,21.4,20.1,98,6.2,0,5,320,2,C,,,
02/05/2025,19.2,23.3,20.5,94,1.9,0,6,270,3,NW,,,
02/04/2025,19.5,24.5,20.7,90,0,1.9,5,310,2,NW,,,
02/03/2025,20,25,22.2,87,8888,0,2,300,1,W,,,
02/02/2025,19.8,23.5,21.5,92,6.1,0,3,30,1,W,,,
02/01/2025,19.3,22.1,20.5,95,11.7,2.4,3,330,1,W,,,
01/31/2025,18.2,24.7,20.8,93,12.9,0,3,300,1,C,,,
01/30/2025,18.2,20.6,19.2,99,68,0,5,340,1,C,,,
01/29/2025,18.6,21.6,19.4,100,112.2,0.1,4,270,2,W,,,
01/28/2025,18.2,22.6,20,94,0,1.7,3,230,0,C,,,
01/27/2025,18.6,25.6,21.3,86,0.4,0,2,270,0,C,,,
01/26/2025,19,24.2,20.9,91,7,0.3,3,330,1,C,,,
01/25/2025,18.6,24.6,20.9,92,49.5,4.4,2,300,1,C,,,
01/24/2025,18.9,27,21.8,89,39.8,1.5,4,290,1,C,,,
01/23/2025,19.2,24.3,20.7,91,1.8,0,3,310,0,C,,,
01/22/2025,19,23.4,20.7,92,29.6,0,4,225,1,C,,,
01/21/2025,19.7,22.2,20,98,7.8,0.2,5,230,0,C,,,
01/20/2025,18.8,23.2,20.6,96,25,2.1,4,270,0,C,,,
01/19/2025,18.6,24.2,20.3,96,10.6,0,1,215,0,C,,,
01/18/2025,19.6,25.1,21.1,93,22.2,0.4,3,270,0,C,,,
01/17/2025,19.6,24,21.3,90,2.2,0.4,2,320,0,C,,,
01/16/2025,19.4,25.2,21.8,85,0,6.6,3,270,1,C,,,
01/15/2025,19,27.6,22.3,80,53,0.7,4,270,1,C,,,
01/14/2025,20.2,25.3,21,90,8888,5.5,4,320,1,C,,,
01/13/2025,19.4,27.1,23.4,78,1.7,2.1,4,270,1,C,,,
01/12/2025,19,25.9,21.6,85,19.2,2.7,5,320,2,C,,,
01/11/2025,19.1,25.4,21.3,90,6.2,2.4,3,300,1,C,,,
01/10/2025,19.1,26,22,87,5.6,0,3,290,1,C,,,
01/09/2025,19.4,22.9,20.2,97,21.2,0,2,320,0,C,,,
01/08/2025,18.2,23.8,21.1,93,27.2,1.9,2,200,0,C,,,
01/07/2025,18,23.8,20.5,93,49.6,3,2,310,0,C,,,
01/06/2025,18,25.6,20.8,89,8888,4.3,1,300,0,C,,,
01/05/2025,18.5,27.7,21.9,83,0.3,1.8,3,250,1,C,,,
01/04/2025,18,26.7,21.4,83,8.4,5.3,3,230,1,C,,,
01/03/2025,19,27.3,21.9,81,0,4.5,4,240,1,C,,,
01/02/2025,17.6,26.5,21.6,75,0.5,2.3,2,330,1,C,,,
01/01/2025,19.6,24.8,20.9,87,0,1.1,2,300,1,NW,,,
12/31/2024,19,25,21.5,83,7.1,0.5,4,300,1,C,,,
12/30/2024,19.6,24.3,21.4,82,0,0.1,7,7,1,C,,,
12/29/2024,20.5,26.2,22.8,81,0,0.9,4,310,1,C,,,
12/28/2024,20.4,27.5,22.9,70,0.5,2.6,3,210,1,C,,,
12/27/2024,19.8,27.6,23.2,71,0,0.3,4,320,1,W,,,
12/26/2024,19.1,25.6,22.2,80,19.5,0,4,280,1,C,,,
12/25/2024,19.4,23.6,20.6,93,3.6,0,4,310,1,C,,,
12/24/2024,19.5,23,20.6,95,5.1,0,3,330,1,C,,,
12/23/2024,19.9,23.6,21.8,89,1.3,0.7,2,310,0,C,,,
12/22/2024,19.4,24.5,21.8,91,2,0,2,300,1,NW,,,
12/21/2024,19.4,24.6,21.1,89,7.4,0,3,320,1,W,,,
12/20/2024,19.2,23.4,20.5,96,73,2.2,4,350,1,NW,,,
12/19/2024,19.6,24.9,20.5,98,16.6,1.3,4,290,1,W,,,
12/18/2024,19.7,25.1,21.1,88,3,0.1,3,190,1,C,,,
12/17/2024,19.3,24.6,21.6,91,38.8,0,2,300,0,C,,,
12/16/2024,19.3,22.1,20.5,96,7.6,0,3,270,1,NW,,,
12/15/2024,20,23.8,20.3,96,1.7,0,3,40,1,C,,,
12/14/2024,20,24.2,21.3,92,44.7,1.3,4,220,1,C,,,
12/13/2024,20.5,24,21.9,85,8888,2.5,4,260,2,W,,,
12/12/2024,19.7,26.7,22.5,85,6.2,0,3,310,1,NW,,,
12/11/2024,20,26.4,22.8,80,4.7,0,4,290,1,W,,,
12/10/2024,20,26,22.1,92,20.7,0.3,2,40,1,SW,,,
12/09/2024,20.4,24.2,21,96,6.2,0,1,170,1,SE,,,
12/08/2024,20,25.5,22.4,88,21.8,0.7,2,250,1,C,,,
12/07/2024,19.8,24.5,21.9,91,0.9,0,3,330,1,S,,,
12/06/2024,19.8,22.2,20.8,94,37.7,0,3,250,1,C,,,
12/05/2024,19.5,22.2,20.8,96,15.3,0,3,20,1,C,,,
12/04/2024,19.7,22.6,20.8,94,28.6,0,2,260,1,C,,,
12/03/2024,19.7,23.7,21,88,65.6,0.9,3,60,1,W,,,
12/02/2024,19.7,26,21.9,92,1.6,2.5,4,280,1,C,,,
12/01/2024,20.1,26.6,23,83,0.3,3.4,4,340,1,C,,,
11/30/2024,20.6,27.4,23.2,78,8888,2.6,2,300,1,C,,,
11/29/2024,19.2,27.2,21.9,83,13.6,1.1,3,230,1,C,,,
11/28/2024,18.8,26.2,21.8,88,68.6,0.2,3,310,1,SE,,,
11/27/2024,19.6,24.6,21.9,92,18.5,1.8,3,310,1,C,,,
11/26/2024,20.3,26.4,22.4,90,0.1,2.2,2,290,1,W,,,
11/25/2024,19.6,25.8,22.5,86,17.6,0.5,3,250,1,C,,,
11/24/2024,19.8,26.1,21.8,90,16.7,2.7,2,340,1,C,,,
11/23/2024,19,26.2,21.4,89,13.5,1.6,3,340,1,SE,,,
11/22/2024,19.2,25.8,22,89,30.3,0.3,3,290,1,C,,,
11/21/2024,19.8,25.4,21.5,95,35.2,2.1,2,320,1,C,,,
11/20/2024,19.4,25.8,21.5,92,18.4,2.6,3,330,1,S,,,
11/19/2024,19,26.4,21.8,89,25.1,2.4,2,320,1,C,,,
11/18/2024,19,25.8,21.6,93,25.8,1.2,4,320,1,C,,,
11/17/2024,18.6,25.4,21.3,94,26.5,0.2,2,260,1,W,,,
11/16/2024,19.9,25.9,22.1,91,14,1.2,3,340,1,C,,,
11/15/2024,19.7,26.4,22.5,87,0,3.4,4,350,1,C,,,
11/14/2024,19,27.1,22.6,83,0.5,7.9,3,10,1,C,,,
11/13/2024,18.6,29.6,23.4,76,7.5,5,2,160,1,C,,,
11/12/2024,19,28.7,22.7,84,29.6,0.5,2,310,1,C,,,
11/11/2024,19.6,25.4,21.7,91,4.8,2,2,190,1,C,,,
11/10/2024,19.2,26.6,22.3,89,50.1,2.1,4,300,1,C,,,
11/09/2024,19.8,26.8,21.8,91,4.2,2.3,3,340,0,C,,,
11/08/2024,20.2,26.1,22.4,90,0,4.3,3,300,1,C,,,
11/07/2024,19,26.4,22.2,81,0,4.5,3,290,1,C,,,
11/06/2024,19,27,22.8,81,24.6,3.8,6,170,1,E,,,
11/05/2024,19.8,26,22.2,88,1.8,0.5,3,210,1,C,,,
11/04/2024,19,24.5,21.3,89,5.3,1.4,3,310,1,C,,,
11/03/2024,19,25.2,20.8,92,6.6,2.6,3,40,1,C,,,
11/02/2024,19.7,26,21.5,90,3,4.7,2,310,1,SE,,,
11/01/2024,19,28.2,22.3,80,0,6.2,3,10,1,C,,,
10/31/2024,19.1,27.8,22.5,82,0,7.1,3,310,1,C,,,
10/30/2024,19,28.8,22.3,82,0,8,4,310,1,C,,,
10/29/2024,18.7,29.2,22.9,85,6.4,4.1,3,300,1,C,,,
10/28/2024,19.9,27.4,22.2,86,0,4.8,3,110,1,C,,,
10/27/2024,19.4,26.9,23.2,83,0,8,4,360,2,S,,,
10/26/2024,18.4,28.2,22.8,67,0,8,3,300,1,C,,,
10/25/2024,19.6,28.3,23.3,78,8888,5.2,4,290,1,C,,,
10/24/2024,19.2,27.6,22.4,84,0,5.3,3,260,1,C,,,
10/23/2024,19.8,27.3,22.8,85,0,7.9,4,350,1,C,,,
10/22/2024,18.4,28.4,22.8,69,0,7.9,3,290,1,W,,,
10/21/2024,17.7,27.9,22,76,0,8,4,350,2,SE,,,
10/20/2024,18.2,27.8,22.3,70,0,7.2,3,310,1,C,,,
10/19/2024,17.6,27.4,22.1,75,8888,8,4,310,1,C,,,
10/18/2024,18,27.8,22.3,70,0,8,5,310,1,C,,,
10/17/2024,17.3,27,21.8,66,0,8,4,290,1,C,,,
10/16/2024,19.8,27.7,22.7,74,0,5.2,4,210,1,C,,,
10/15/2024,20,27.4,22.7,84,8888,2.1,3,300,1,S,,,
10/14/2024,19.2,25.8,21.9,88,0,6,2,45,1,C,,,
10/13/2024,20,28.6,23.4,82,0,5.2,7,70,1,C,,,
10/12/2024,19.4,29.3,23.9,80,0,8,3,80,1,C,,,
10/11/2024,19.2,28.5,23.6,82,1,6.4,3,320,1,C,,,
10/10/2024,19.2,28.6,22.6,86,8888,4.9,3,330,1,C,,,
10/09/2024,18.7,27.4,22.7,81,0,6,3,320,1,C,,,
10/08/2024,19,28,23.5,75,0,8,2,260,1,C,,,
10/07/2024,19,29.2,23.4,77,0,5.1,4,160,1,C,,,
10/06/2024,18.6,29,22.9,84,16.8,2.4,3,110,1,C,,,
10/05/2024,18.9,26.6,21,92,34.5,3.8,2,300,0,C,,,
10/04/2024,19,26.6,21.5,89,8888,2,3,340,1,C,,,
10/03/2024,19.3,26,22,91,0.5,5.5,2,340,0,C,,,
10/02/2024,20,28.2,23.2,81,0,7.3,2,290,1,C,,,
10/01/2024,19,29.1,22.9,83,0,8,3,320,1,C,,,
09/30/2024,18.6,29.2,23.3,78,50.8,6.2,3,140,1,C,,,
09/29/2024,19.2,29.4,22.9,83,0,4.9,4,50,1,C,,,
09/28/2024,19.4,27.2,22.7,91,3.4,3.4,3,45,0,C,,,
09/27/2024,18,25.5,21.4,90,22.5,3.2,3,310,0,C,,,
09/26/2024,18.8,26.4,21.6,87,23.7,3.7,2,330,0,C,,,
09/25/2024,19,27,21.6,86,13.2,0.9,3,280,1,C,,,
09/24/2024,20,25.8,21.5,90,16.6,1.2,1,130,0,C,,,
09/23/2024,20,27,23.3,86,8888,6.8,2,270,0,C,,,
09/22/2024,18.8,28.2,23.2,77,0,7.5,4,290,1,C,,,
09/21/2024,17.6,27.8,22.3,80,8888,8,3,280,1,C,,,
09/20/2024,17.8,27.6,21.7,80,0,8,2,310,1,C,,,
09/19/2024,16.7,27.3,21.6,71,0,8,2,300,1,C,,,
09/18/2024,15.5,26.6,20.7,75,1.2,7.6,3,220,1,C,,,
09/17/2024,17.2,27,21.5,75,0,7,2,330,1,C,,,
09/16/2024,17.2,27.6,21.4,79,19.7,6.9,3,310,1,C,,,
09/15/2024,16.7,26.6,21.5,72,0.2,5,2,310,0,C,,,
09/14/2024,16,26.8,21.3,77,3.2,4.9,2,290,1,C,,,
09/13/2024,18.6,26.6,22,86,7.6,4.6,2,60,0,C,,,
09/12/2024,19.2,26.8,21.9,86,0,1.7,3,330,0,C,,,
09/11/2024,18.6,27,22.5,80,65.2,0.4,3,320,0,C,,,
09/10/2024,18.2,23.6,20.6,94,39,2.5,2,290,0,C,,,
09/09/2024,18.7,26,21.3,89,0.4,5.7,4,270,0,C,,,
09/08/2024,19,28.4,22.4,85,0,8,3,220,0,C,,,
09/07/2024,18.6,28.9,22.7,76,0,6.2,2,140,1,C,,,
09/06/2024,18.4,27.6,22.4,83,0.5,3,2,200,1,C,,,
09/05/2024,18.2,25.7,21.4,87,0,7,3,230,0,C,,,
09/04/2024,18.4,27.8,22.1,80,0,7.9,4,230,1,C,,,
09/03/2024,19,27.6,22.7,79,8888,5.4,3,40,1,C,,,
09/02/2024,18.2,28.2,22.4,84,0,5.7,3,240,1,C,,,
09/01/2024,18.2,26.9,22.2,80,0,5.8,2,270,0,C,,,
08/31/2024,18,26.8,21.8,80,0,6.3,3,340,1,C,,,
08/30/2024,18.6,26.7,22,77,0,4.2,3,300,1,C,,,
